Date,State,Confirmed,Predicted
2020/2/14,AL,0,-1
2020/2/15,AL,0,-1
2020/2/16,AL,0,-1
2020/2/17,AL,0,-1
2020/2/18,AL,0,-1
2020/2/19,AL,0,-1
2020/2/20,AL,0,-1
2020/2/21,AL,0,-1
2020/2/22,AL,0,-1
2020/2/23,AL,0,-1
2020/2/24,AL,0,-1
2020/2/25,AL,0,-1
2020/2/26,AL,0,-1
2020/2/27,AL,0,-1
2020/2/28,AL,0,-1
2020/2/29,AL,0,-1
2020/3/1,AL,0,-1
2020/3/2,AL,0,-1
2020/3/3,AL,0,-1
2020/3/4,AL,0,-1
2020/3/5,AL,0,-1
2020/3/6,AL,0,-1
2020/3/7,AL,0,-1
2020/3/8,AL,0,-1
2020/3/9,AL,0,-1
2020/3/10,AL,0,-1
2020/3/11,AL,0,-1
2020/3/12,AL,0,-1
2020/3/13,AL,6,-1
2020/3/14,AL,6,-1
2020/3/15,AL,11,-1
2020/3/16,AL,6,-1
2020/3/17,AL,10,-1
2020/3/18,AL,12,-1
2020/3/19,AL,27,-1
2020/3/20,AL,28,-1
2020/3/21,AL,25,-1
2020/3/22,AL,26,-1
2020/3/23,AL,39,-1
2020/3/24,AL,46,-1
2020/3/25,AL,144,-1
2020/3/26,AL,152,-1
2020/3/27,AL,101,-1
2020/3/28,AL,81,-1
2020/3/29,AL,110,-1
2020/3/30,AL,117,-1
2020/3/31,AL,52,-1
2020/4/1,AL,109,-1
2020/4/2,AL,162,-1
2020/4/3,AL,265,-1
2020/4/4,AL,97,-1
2020/4/5,AL,208,-1
2020/4/6,AL,165,-1
2020/4/7,AL,192,-1
2020/4/8,AL,301,-1
2020/4/9,AL,340,-1
2020/4/10,AL,170,-1
2020/4/11,AL,254,-1
2020/4/12,AL,321,-1
2020/4/13,AL,222,-1
2020/4/14,AL,148,-1
2020/4/15,AL,288,-1
2020/4/16,AL,163,-1
2020/4/17,AL,168,-1
2020/4/18,AL,151,-1
2020/4/19,AL,180,-1
2020/4/20,AL,175,-1
2020/4/21,AL,249,-1
2020/4/22,AL,283,-1
2020/4/23,AL,222,-1
2020/4/24,AL,194,-1
2020/4/25,AL,187,-1
2020/4/26,AL,208,-1
2020/4/27,AL,118,-1
2020/4/28,AL,211,-1
2020/4/29,AL,175,-1
2020/4/30,AL,143,-1
2020/5/1,AL,226,-1
2020/5/2,AL,317,-1
2020/5/3,AL,277,-1
2020/5/4,AL,224,-1
2020/5/5,AL,325,-1
2020/5/6,AL,254,-1
2020/5/7,AL,355,-1
2020/5/8,AL,339,-1
2020/5/9,AL,283,-1
2020/5/10,AL,221,-1
2020/5/11,AL,275,-1
2020/5/12,AL,300,-1
2020/5/13,AL,236,-1
2020/5/14,AL,401,-1
2020/5/15,AL,272,-1
2020/5/16,AL,301,-1
2020/5/17,AL,97,-1
2020/5/18,AL,315,-1
2020/5/19,AL,290,-1
2020/5/20,AL,676,-1
2020/5/21,AL,362,-1
2020/5/22,AL,256,-1
2020/5/23,AL,479,-1
2020/5/24,AL,329,-1
2020/5/25,AL,508,-1
2020/5/26,AL,664,-1
2020/5/27,AL,382,-1
2020/5/28,AL,498,-1
2020/5/29,AL,501,-1
2020/5/30,AL,328,-1
2020/5/31,AL,593,-1
2020/6/1,AL,582,-1
2020/6/2,AL,237,-1
2020/6/3,AL,80,-1
2020/6/4,AL,221,-1
2020/6/5,AL,315,-1
2020/6/6,AL,656,-1
2020/6/7,AL,457,-1
2020/6/8,AL,425,-1
2020/6/9,AL,497,-1
2020/6/10,AL,567,-1
2020/6/11,AL,856,-1
2020/6/12,AL,865,-1
